ChampionName,ChampionRole,ChampionWinRate,ChampionPickRate,ChampionBanRate
Illaoi,TOP,0.5184000000000001,0.0375,0.1276
Irelia,MID,0.5162,0.0429,0.1444
Irelia,TOP,0.5007,0.0429,0.1444
Ivern,JUNGLE,0.48090000000000005,0.0095,0.0044
Ivern,SUPPORT,0.4806,0.0014000000000000002,0.0044
Janna,SUPPORT,0.5097,0.0358,0.0098
Jarvan IV,JUNGLE,0.5168,0.0458,0.0129
Jax,TOP,0.48340000000000005,0.0408,0.0447
Jax,JUNGLE,0.5177,0.013300000000000001,0.0447
Jayce,TOP,0.45909999999999995,0.040999999999999995,0.023799999999999998
Jayce,MID,0.4733,0.0165,0.023799999999999998
Jhin,ADC,0.5008,0.1784,0.0701
Jinx,ADC,0.5074000000000001,0.18710000000000002,0.060700000000000004
K'Sante,TOP,0.4743,0.0377,0.0452
Kai'Sa,ADC,0.48460000000000003,0.1032,0.02
Kalista,ADC,0.4816,0.0235,0.0088
Karma,SUPPORT,0.49950000000000006,0.0701,0.0313
Karthus,JUNGLE,0.4919,0.0212,0.024399999999999998
Kassadin,MID,0.4868,0.0177,0.015
Katarina,MID,0.4672,0.087,0.0775
Kayle,TOP,0.5283,0.0282,0.0109
Kayle,MID,0.5285,0.0046,0.0109
Kayn,JUNGLE,0.5073,0.1009,0.07719999999999999
Kennen,TOP,0.49950000000000006,0.015,0.008
Kennen,MID,0.5161,0.0029,0.008
Kha'Zix,JUNGLE,0.4826,0.0519,0.0418
Kindred,JUNGLE,0.4885,0.0322,0.015300000000000001
Kled,TOP,0.5002,0.0146,0.0079
Kog'Maw,ADC,0.5256000000000001,0.0231,0.012
LeBlanc,MID,0.46649999999999997,0.0484,0.1188
Lee Sin,JUNGLE,0.4824,0.11810000000000001,0.0983
Leona,SUPPORT,0.49450000000000005,0.0697,0.0736
Lillia,JUNGLE,0.5143,0.0409,0.0398
Lissandra,MID,0.504,0.030600000000000002,0.0169
Lucian,ADC,0.48710000000000003,0.0567,0.011000000000000001
Lulu,SUPPORT,0.509,0.0983,0.13
Lux,SUPPORT,0.5105,0.1371,0.1891
Lux,MID,0.5243,0.06309999999999999,0.1891
Malphite,TOP,0.5139,0.0482,0.063
Malphite,MID,0.5238,0.011000000000000001,0.063
Malphite,SUPPORT,0.48109999999999997,0.0124,0.063
Malzahar,MID,0.5325,0.0644,0.1139
Maokai,TOP,0.5086999999999999,0.0277,0.0271
Maokai,SUPPORT,0.5154,0.028999999999999998,0.0271
Master Yi,JUNGLE,0.48119999999999996,0.0705,0.1159
Milio,SUPPORT,0.5229,0.0489,0.0241
Miss Fortune,ADC,0.5307999999999999,0.1895,0.08929999999999999
Mordekaiser,TOP,0.5309,0.1041,0.17620000000000002
Morgana,SUPPORT,0.5221,0.08109999999999999,0.2982
Naafiri,MID,0.5105,0.0182,0.013500000000000002
Naafiri,JUNGLE,0.49420000000000003,0.0037,0.013500000000000002
Nami,SUPPORT,0.5226,0.0783,0.0103
Nasus,TOP,0.5038,0.0431,0.0581
Nautilus,SUPPORT,0.4875,0.0833,0.1245
Neeko,MID,0.5033,0.0103,0.0144
Neeko,SUPPORT,0.48840000000000006,0.0277,0.0144
Nidalee,JUNGLE,0.44179999999999997,0.019299999999999998,0.0101
Nilah,ADC,0.521,0.02,0.0348
Nocturne,JUNGLE,0.5289,0.08460000000000001,0.1336
Nunu,JUNGLE,0.4966,0.0383,0.0097
Olaf,JUNGLE,0.5043,0.0025,0.009000000000000001
Olaf,TOP,0.48210000000000003,0.0131,0.009000000000000001
Orianna,MID,0.5029,0.0308,0.005699999999999999
Ornn,TOP,0.5121,0.0363,0.0088
Pantheon,MID,0.5283,0.01,0.024399999999999998
Pantheon,TOP,0.4993,0.0212,0.024399999999999998
Pantheon,SUPPORT,0.4975,0.0345,0.024399999999999998
Poppy,SUPPORT,0.5031,0.026099999999999998,0.0353
Poppy,TOP,0.5085999999999999,0.011699999999999999,0.0353
Poppy,JUNGLE,0.5059,0.0072,0.0353
Pyke,SUPPORT,0.475,0.0713,0.1986
Qiyana,MID,0.48100000000000004,0.0154,0.0037
Qiyana,JUNGLE,0.45640000000000003,0.0029,0.0037
Quinn,MID,0.5047,0.0022,0.006999999999999999
Quinn,TOP,0.4769,0.01,0.006999999999999999
Rakan,SUPPORT,0.4861,0.034,0.0038
Rammus,JUNGLE,0.5172,0.0208,0.0572
Rek'Sai,JUNGLE,0.4658,0.0091,0.0032
Rell,SUPPORT,0.5112,0.0467,0.0192
Renata Glasc,SUPPORT,0.4947,0.019299999999999998,0.0044
Renekton,TOP,0.4961,0.043899999999999995,0.027999999999999997
Rengar,JUNGLE,0.42590000000000006,0.0245,0.0212
Riven,TOP,0.4832,0.0382,0.017
Rumble,TOP,0.47240000000000004,0.0128,0.0042
Rumble,MID,0.48450000000000004,0.002,0.0042
Ryze,MID,0.5159,0.0219,0.0040999999999999995
Ryze,TOP,0.5106,0.005600000000000001,0.0040999999999999995
Samira,ADC,0.4915,0.0675,0.1242
Sejuani,JUNGLE,0.49340000000000006,0.03,0.0054
Senna,SUPPORT,0.5025,0.0559,0.0155
Seraphine,SUPPORT,0.4947,0.0605,0.0241
Sett,TOP,0.5213,0.0816,0.033
Shaco,JUNGLE,0.4675,0.0575,0.2726
Shaco,SUPPORT,0.5095000000000001,0.0124,0.2726
Shen,TOP,0.5017,0.0364,0.0063
Shen,SUPPORT,0.5132,0.008199999999999999,0.0063
Shyvana,JUNGLE,0.521,0.0197,0.006
Singed,TOP,0.5246,0.0181,0.0051
Sion,TOP,0.5018,0.04190000000000001,0.015600000000000001
Sivir,ADC,0.5169,0.0385,0.0084
Skarner,JUNGLE,0.4939,0.0319,0.0527
Smolder,ADC,0.4949,0.044500000000000005,0.031400000000000004
Smolder,MID,0.4526,0.015600000000000001,0.031400000000000004
Sona,SUPPORT,0.5182,0.025,0.0017000000000000001
Soraka,SUPPORT,0.5145000000000001,0.0452,0.022000000000000002
Swain,SUPPORT,0.48719999999999997,0.0527,0.075
Swain,MID,0.5126,0.0231,0.075
Swain,ADC,0.5254,0.0161,0.075
Sylas,MID,0.48950000000000005,0.08310000000000001,0.0946
Syndra,MID,0.5008,0.0479,0.0304
Tahm Kench,TOP,0.5113,0.0433,0.17120000000000002
Tahm Kench,SUPPORT,0.5157,0.0581,0.17120000000000002
Taliyah,MID,0.5,0.0106,0.0049
Taliyah,JUNGLE,0.4496,0.0074,0.0049
Talon,MID,0.47350000000000003,0.025,0.0101
Talon,JUNGLE,0.483,0.013300000000000001,0.0101
Taric,SUPPORT,0.5211,0.016200000000000003,0.0040999999999999995
Teemo,TOP,0.5257999999999999,0.0542,0.1787
Teemo,JUNGLE,0.5135000000000001,0.0181,0.1787
Thresh,SUPPORT,0.4924,0.1081,0.048
Tristana,ADC,0.4772,0.049,0.0169
Trundle,TOP,0.5127,0.044199999999999996,0.0255
Trundle,JUNGLE,0.5338,0.0132,0.0255
Tryndamere,TOP,0.4894,0.0276,0.022099999999999998
Twisted Fate,MID,0.4763,0.0194,0.002
Twitch,ADC,0.5033,0.0441,0.0323
Udyr,JUNGLE,0.49920000000000003,0.026600000000000002,0.021099999999999997
Udyr,TOP,0.4682,0.0049,0.021099999999999997
Urgot,TOP,0.5302,0.0334,0.0118
Varus,ADC,0.4916,0.059000000000000004,0.0126
Vayne,ADC,0.5153,0.069,0.055
Vayne,TOP,0.4913,0.011000000000000001,0.055
Veigar,MID,0.5274,0.0654,0.0437
Veigar,ADC,0.5363,0.0095,0.0437
Vel'Koz,SUPPORT,0.5219,0.0332,0.0147
Vel'Koz,MID,0.5217,0.0121,0.0147
Vex,MID,0.5053,0.0393,0.052300000000000006
Vi,JUNGLE,0.49560000000000004,0.0591,0.0159
Viego,JUNGLE,0.5115,0.13720000000000002,0.1207
Viktor,MID,0.5168,0.1065,0.253
Vladimir,MID,0.5033,0.0512,0.054900000000000004
Vladimir,TOP,0.495,0.0197,0.054900000000000004
Volibear,TOP,0.5115,0.049800000000000004,0.06280000000000001
Volibear,JUNGLE,0.5134000000000001,0.039900000000000005,0.06280000000000001
Warwick,JUNGLE,0.5328,0.09359999999999999,0.2525
Warwick,TOP,0.5212,0.0317,0.2525
Wukong,JUNGLE,0.5277000000000001,0.0753,0.0506
Wukong,TOP,0.5118,0.0104,0.0506
Xayah,ADC,0.4964,0.0387,0.0063
Xerath,MID,0.512,0.0265,0.055999999999999994
Xerath,SUPPORT,0.5128,0.0339,0.055999999999999994
Xin Zhao,JUNGLE,0.5128,0.0358,0.0075
Yasuo,MID,0.49119999999999997,0.1069,0.2212
Yasuo,TOP,0.46950000000000003,0.021400000000000002,0.2212
Yone,MID,0.4913,0.0758,0.10099999999999999
Yone,TOP,0.4738,0.0444,0.10099999999999999
Yorick,TOP,0.5289,0.0467,0.08539999999999999
Yuumi,SUPPORT,0.4816,0.0525,0.0535
Zac,JUNGLE,0.49119999999999997,0.026600000000000002,0.0181
Zac,TOP,0.5179,0.005699999999999999,0.0181
Zed,MID,0.4702,0.06559999999999999,0.21760000000000002
Zed,JUNGLE,0.484,0.0108,0.21760000000000002
Zeri,ADC,0.4978,0.0194,0.0034000000000000002
Ziggs,ADC,0.515,0.0194,0.0108
Ziggs,MID,0.49079999999999996,0.009300000000000001,0.0108
Ziggs,SUPPORT,0.49200000000000005,0.004,0.0108
Zilean,SUPPORT,0.5039,0.02,0.006999999999999999
Zoe,MID,0.484,0.026099999999999998,0.0154
Zoe,SUPPORT,0.4914,0.0064,0.0154
Zyra,SUPPORT,0.5287,0.044800000000000006,0.050199999999999995
